code,date,e,n,wqi
CLCB13,2024-09-01,105.1661,9.5305,55.4341400327066
CLCB13,2024-10-01,105.1661,9.5305,36.8441429905211
CLCB13,2024-11-01,105.1661,9.5305,34.6786773222867
CLCB13,2024-12-01,105.1661,9.5305,35.0764000627195
CLCB13,2025-01-01,105.1661,9.5305,54.5703265183331
CLCB13,2025-02-01,105.1661,9.5305,36.7079074408139
CLCB13,2025-03-01,105.1661,9.5305,52.5575148977878
CLCB13,2025-04-01,105.1661,9.5305,35.4010749202187
CLCB13,2025-05-01,105.1661,9.5305,54.1179828337933
CLCB13,2025-06-01,105.1661,9.5305,57.3354701736462
CLCB14,2024-06-01,105.2411,9.7294,48.2639214057098
CLCB14,2024-07-01,105.2411,9.7294,48.6283800454447
CLCB14,2024-08-01,105.2411,9.7294,35.8825271984373
CLCB14,2024-09-01,105.2411,9.7294,50.1444237581333
CLCB14,2024-10-01,105.2411,9.7294,63.4102734812235
CLCB14,2024-11-01,105.2411,9.7294,62.746296976264
CLCB14,2024-12-01,105.2411,9.7294,49.8579457930933
CLCB14,2025-01-01,105.2411,9.7294,37.3825234634786
CLCB14,2025-02-01,105.2411,9.7294,45.7109933626133
CLCB14,2025-03-01,105.2411,9.7294,65.1686771240527
CLCB14,2025-04-01,105.2411,9.7294,50.5793707840168
CLCB14,2025-05-01,105.2411,9.7294,34.9392232470675
CLCB14,2025-06-01,105.2411,9.7294,36.6817262182676
CLCB15,2024-06-01,105.5436,9.6687,50.0741796738038
CLCB15,2024-07-01,105.5436,9.6687,49.4375086863262
CLCB15,2024-08-01,105.5436,9.6687,52.4060051299537
CLCB15,2024-09-01,105.5436,9.6687,52.2775782751123
CLCB15,2024-10-01,105.5436,9.6687,50.4989812578039
CLCB15,2024-11-01,105.5436,9.6687,49.605616937446
CLCB15,2024-12-01,105.5436,9.6687,52.310583435448
CLCB15,2025-01-01,105.5436,9.6687,35.4695103508521
CLCB15,2025-02-01,105.5436,9.6687,33.2423243271593
CLCB15,2025-03-01,105.5436,9.6687,52.3753589521618
CLCB15,2025-04-01,105.5436,9.6687,56.804863900847
CLCB15,2025-05-01,105.5436,9.6687,48.4769491834423
CLCB15,2025-06-01,105.5436,9.6687,38.9851590971086
CLCB2,2023-04-01,105.21267,9.84895,50.9515163858406
CLCB2,2023-05-01,105.21267,9.84895,63.900549174634
CLCB2,2023-06-01,105.21267,9.84895,63.5703978104345
CLCB2,2023-07-01,105.21267,9.84895,50.2063832956533
CLCB2,2023-08-01,105.21267,9.84895,51.1606239112231
CLCB2,2023-09-01,105.21267,9.84895,62.6941525346217
CLCB2,2023-10-01,105.21267,9.84895,51.8702173647569
CLCB2,2023-11-01,105.21267,9.84895,52.2703544546168
CLCB2,2023-12-01,105.21267,9.84895,50.4359340925794
CLCB2,2024-01-01,105.21267,9.84895,54.0692552983085
